rent, area, lastUpdated, url
30000, "2300","2024-04-28T13:12:42.000Z","http://nobr.kr/sv/1Qsg3S3"
35000, "3340","2024-04-30T15:48:51.000Z","http://nobr.kr/sv/1RSBT15"
47000, "3246","2024-05-02T16:14:06.000Z","http://nobr.kr/sv/1cwT5g5"
48000, "3400","2024-04-09T04:26:05.000Z","http://nobr.kr/sv/1JSxSG3"
70000, "3300","2024-04-01T03:12:54.000Z","http://nobr.kr/sv/1VTgtV3"
80000, "3200","2024-04-13T06:08:26.000Z","http://nobr.kr/sv/1PyLs57"
90000, "6000","2024-03-26T12:10:46.000Z","http://nobr.kr/sv/1L947Z4"
30000, "2170","2024-04-21T07:22:11.000Z","http://nobr.kr/sv/1kJ16t5"
32000, "2100","2024-05-02T13:39:45.000Z","http://nobr.kr/sv/16mWCy3"
38000, "2600","2024-04-24T10:00:03.000Z","http://nobr.kr/sv/1RJc8g4"
39000, "2270","2024-04-28T14:22:37.000Z","http://nobr.kr/sv/1vTvdv3"
18000, "1200","2024-04-20T03:19:18.000Z","http://nobr.kr/sv/1vJGMc5"
18000, "800","2024-04-28T15:54:46.000Z","http://nobr.kr/sv/1whWFm5"
26000, "1200","2024-04-20T03:24:19.000Z","http://nobr.kr/sv/1nxpLc5"
24500, "1250","2024-05-02T17:10:53.000Z","http://nobr.kr/sv/1Tpzbq5"
22000, "1300","2024-04-30T05:46:55.000Z","http://nobr.kr/sv/1WjDr45"
40000, "1700","2024-04-05T22:41:12.000Z","http://nobr.kr/sv/1TDR745"
56000, "2000","2024-04-28T08:58:11.000Z","http://nobr.kr/sv/1P5zmd5"
5000, "200","2024-03-31T23:04:19.000Z","http://nobr.kr/sv/1DLNs15"
10000, "500","2024-03-30T05:16:21.000Z","http://nobr.kr/sv/12Qqs15"
10000, "1440","2024-04-24T23:15:17.000Z","http://nobr.kr/sv/HB7Ng"
12500, "1970","2024-04-18T22:25:08.000Z","http://nobr.kr/sv/GDd3d"
17000, "2000","2024-04-28T09:38:21.000Z","http://nobr.kr/sv/1KgvJg5"
20000, "1545","2024-03-28T06:05:41.000Z","http://nobr.kr/sv/1G61HZ4"
25000, "1545","2024-04-23T13:37:45.000Z","http://nobr.kr/sv/12f37h5"
48000, "2720","2024-03-26T05:18:16.000Z","http://nobr.kr/sv/19gGhd5"
50000, "1888","2024-04-16T10:25:38.000Z","http://nobr.kr/sv/14mDhb7"
50000, "1163","2024-04-26T09:22:06.000Z","http://nobr.kr/sv/1GWL4h5"
55000, "2300","2024-04-25T04:36:13.000Z","http://nobr.kr/sv/1QrsYh5"
95000, "4800","2024-04-02T22:02:23.000Z","http://nobr.kr/sv/19K5g25"
60000, "2000","2024-03-25T06:19:04.000Z","http://nobr.kr/sv/pQHFL5"
80000, "2800","2024-04-15T07:51:07.000Z","http://nobr.kr/sv/11mRxs6"
30000, "1650","2024-05-02T14:12:19.000Z","http://nobr.kr/sv/1Lbn7q5"
35000, "2500","2024-04-24T05:40:03.000Z","http://nobr.kr/sv/1wxHQC3"
20000, "680","2024-04-17T22:06:49.000Z","http://nobr.kr/sv/1fcPvb5"
23000, "602","2024-04-26T06:17:37.000Z","http://nobr.kr/sv/1QSvMj5"
23000, "647","2024-05-02T14:03:11.000Z","http://nobr.kr/sv/1Hjxmj5"
28000, "674","2024-05-02T15:09:07.000Z","http://nobr.kr/sv/15wf4n5"
29000, "710","2024-04-30T19:24:46.000Z","http://nobr.kr/sv/1RPsnk5"
29000, "600","2024-04-06T23:07:46.000Z","http://nobr.kr/sv/1MCKJ45"
60000, "2000","2024-03-25T06:19:04.000Z","http://nobr.kr/sv/pQHFL5"
80000, "2800","2024-04-15T07:51:07.000Z","http://nobr.kr/sv/11mRxs6"
50000, "1632","2024-03-21T22:44:49.000Z","http://nobr.kr/sv/1xgw8s3"
55000, "1632","2024-05-02T19:20:04.000Z","http://nobr.kr/sv/1PhSbq5"
25000, "1850","2024-05-01T22:43:03.000Z","http://nobr.kr/sv/1S9VJn5"
30000, "1850","2024-04-25T09:18:47.000Z","http://nobr.kr/sv/1TpBB74"
16000, "1510","2024-04-03T17:40:23.000Z","http://nobr.kr/sv/1hmQzb4"
20000, "1200","2024-05-03T10:23:30.000Z","http://nobr.kr/sv/14zVbq5"
39000, "905","2024-05-02T16:19:26.000Z","http://nobr.kr/sv/1W64qb5"
45000, "1460","2024-04-30T12:06:45.000Z","http://nobr.kr/sv/146Kmk5"
55000, "1600","2024-03-24T03:16:34.000Z","http://nobr.kr/sv/1B4VkN3"
65000, "1880","2024-05-03T02:21:09.000Z","http://nobr.kr/sv/1p9d7q5"
12000, "600","2024-05-03T05:35:58.000Z","http://nobr.kr/sv/1smwhq5"
22000, "1063","2024-05-03T04:47:01.000Z","http://nobr.kr/sv/1GrQbq5"
12000, "500","2024-04-23T22:39:19.000Z","http://nobr.kr/sv/1WWC2J5"
56000, "1650","2024-04-26T14:31:55.000Z","http://nobr.kr/sv/1G6zfk5"
60000, "2000","2024-05-01T09:56:38.000Z","http://nobr.kr/sv/1wQHK45"
